"Comarca","Bibliotecaris","Auxiliars","Especialistes","Altres","Becaris","Voluntaris"
"Alt Camp",6,6,3,8,0,2
"Alt Empordà",10,23,3,10,1,16
"Alt Penedès",11,14,3,9,1,8
"Alt Urgell",1,5,3,2,0,3
"Alta Ribagorça",1,1,0,1,0,0
"Anoia",11,19,1,8,0,0
"Aran",2,2,2,1,0,1
"Bages",34,39,4,8,2,5
"Baix Camp",21,34,2,11,2,11
"Baix Ebre",10,16,1,11,0,28
"Baix Empordà",13,24,2,16,4,13
"Baix Llobregat",126,147,5,31,4,61
"Baix Penedès",7,18,1,8,2,0
"Barcelonès",770,541,105,186,241,89
"Berguedà",5,7,4,3,0,0
"Cerdanya",2,4,1,5,0,0
"Conca de Barberà",1,6,2,5,0,6
"Garraf",20,35,3,7,5,0
"Garrigues",5,7,0,3,1,4
"Garrotxa",8,11,3,5,0,1
"Gironès",65,79,15,14,10,6
"Maresme",41,94,6,23,2,10
"Moianès",1,2,0,0,0,6
"Montsià",7,14,1,9,2,3
"Noguera",3,10,1,1,0,2
"Osona",29,26,5,8,9,11
"Pallars Jussà",1,2,2,4,0,0
"Pallars Sobirà",1,1,2,1,1,0
"Pla d'Urgell",2,13,0,6,0,2
"Pla de l'Estany",3,4,1,3,0,0
"Priorat",1,1,0,3,0,0
"Ribera d'Ebre",2,11,1,1,0,0
"Ripollès",1,8,0,5,0,1
"Segarra",5,4,2,5,0,15
"Segrià",55,45,7,14,0,21
"Selva",16,33,5,9,1,8
"Solsonès",1,4,3,1,0,1
"Tarragonès",54,61,8,23,84,13
"Terra Alta",2,3,0,3,0,0
"Urgell",4,7,1,6,0,71
"Vallès Occidental",179,183,13,67,20,174
"Vallès Oriental",46,76,6,29,2,93
